iter	RMSE
0	0.3919116168
1	0.3852638747
2	0.3793303314
3	0.3723580291
4	0.3659802278
5	0.3592243087
6	0.3531911869
7	0.3477497809
8	0.3424720217
9	0.3369936553
10	0.3316067282
11	0.3260274092
12	0.3209008647
13	0.3159752951
14	0.3111159095
15	0.3061290086
16	0.3016337239
17	0.2970017635
18	0.2925749222
19	0.2883779972
20	0.2845316099
21	0.2805820891
22	0.2764697567
23	0.2725112618
24	0.2688986857
25	0.2649845478
26	0.2614184372
27	0.2578924445
28	0.2543595517
29	0.2510697558
30	0.2483377293
31	0.2455255389
32	0.2422745697
33	0.2395407606
34	0.2370325879
35	0.2342731038
36	0.2315743235
37	0.2290030594
38	0.2262095907
39	0.2238615633
40	0.2215273519
41	0.2193724335
42	0.2174206121
43	0.2152780971
44	0.2130700064
45	0.2107617255
46	0.2084355487
47	0.2062736851
48	0.204351413
49	0.2023029863
50	0.2005424283
51	0.1988188392
52	0.1972605364
53	0.1954160303
54	0.1936134971
55	0.1920384006
56	0.190702282
57	0.1891010772
58	0.1875423089
59	0.18609556
60	0.184746685
61	0.1834549126
62	0.1821983409
63	0.1809159017
64	0.1798716603
65	0.1785195932
66	0.1774007881
67	0.1761690696
68	0.1750493525
69	0.1740286648
70	0.1729790952
71	0.1719877597
72	0.1708766127
73	0.1697070167
74	0.1687772776
75	0.1678790826
76	0.1669428029
77	0.1659522662
78	0.1649583973
79	0.1639263497
80	0.1630511478
81	0.1622897311
82	0.1614799158
83	0.1606562785
84	0.1597644155
85	0.1589196378
86	0.158047659
87	0.1571977797
88	0.1563974695
89	0.1556479269
90	0.1549375009
91	0.1541033029
92	0.1534529883
93	0.1527496256
94	0.1521716494
95	0.1514485255
96	0.1508223953
97	0.1501682977
98	0.1495069137
99	0.1489549845
100	0.1485069614
101	0.1479392064
102	0.1473746687
103	0.1468157349
104	0.1462386778
105	0.1457265899
106	0.1452830095
107	0.1447537256
108	0.1441606043
109	0.1437305309
110	0.143204209
111	0.1427802244
112	0.1423225172
113	0.1419697516
114	0.1415093279
115	0.1411143366
116	0.140686865
117	0.1402698272
118	0.1398725821
119	0.1394416063
120	0.1390258224
121	0.1385832231
122	0.1381540876
123	0.1377158009
124	0.1373344317
125	0.1369790174
126	0.1366431046
127	0.1362535756
128	0.1358464664
129	0.1355629346
130	0.1351682104
131	0.134830964
132	0.1345294911
133	0.1341738155
134	0.1338546994
135	0.1334956147
136	0.1332024789
137	0.132914935
138	0.1326024716
139	0.1322775383
140	0.1320098808
141	0.1317513309
142	0.1314739029
143	0.131144518
144	0.130918179
145	0.1306148591
146	0.1302774904
147	0.1299782662
148	0.1297108579
149	0.1293798791
150	0.1291550178
151	0.1288717463
152	0.1286170112
153	0.1283627084
154	0.1281302168
155	0.1279027146
156	0.1276385908
157	0.1273534786
158	0.1270478862
159	0.1267576316
160	0.1265302219
161	0.1262936034
162	0.1260917665
163	0.1257607874
164	0.1255792543
165	0.1253403091
166	0.1250920631
167	0.1248695771
168	0.1247087573
169	0.1244931732
170	0.1243002232
171	0.1241099688
172	0.1238558857
173	0.1236656852
174	0.1234702247
175	0.1232108635
176	0.1229565637
177	0.1226991548
178	0.1225137402
179	0.1223054873
180	0.1221002021
181	0.1218635686
182	0.1217243543
183	0.1214986758
184	0.1212643649
185	0.1211040183
186	0.120948755
187	0.1208143793
188	0.1205951531
189	0.1204092908
190	0.120225741
191	0.1200391175
192	0.1198551807
193	0.119659531
194	0.1194736893
195	0.1192398333
196	0.1191004817
197	0.118953077
198	0.1187963863
199	0.1186149049
200	0.118476869
201	0.1183273086
202	0.1181430664
203	0.1179108584
204	0.1177529358
205	0.1176133899
206	0.1174396297
207	0.1172817213
208	0.1171262707
209	0.1169995127
210	0.1168371744
211	0.1167286145
212	0.1165709169
213	0.1164070553
214	0.1162574853
215	0.1160848676
216	0.1159438564
217	0.1158015882
218	0.115647731
219	0.1154823348
220	0.1153669105
221	0.1152436517
222	0.1151376801
223	0.1150510041
224	0.1149244223
225	0.1148124325
226	0.1146749068
227	0.11451162
228	0.1143813265
229	0.1142045339
230	0.1141145497
231	0.1139943079
232	0.1138088038
233	0.1136784986
234	0.1135461269
235	0.1134165404
236	0.1133063092
237	0.1131503739
238	0.1129982591
239	0.1128391452
240	0.1127101905
241	0.1125867998
242	0.1124673468
243	0.1123190824
244	0.1121778635
245	0.1120338222
246	0.1118983211
247	0.1117959642
248	0.1116825409
249	0.1115557258
250	0.1114149575
251	0.1113107342
252	0.1111883292
253	0.1110989056
254	0.1109985015
255	0.1108747571
256	0.1107465988
257	0.1106420178
258	0.1105380284
259	0.1104058291
260	0.1102560077
261	0.1101417621
262	0.1100242135
263	0.109906638
264	0.1097676729
265	0.1096845082
266	0.1095763666
267	0.1094576819
268	0.1093574921
269	0.1092533051
270	0.1091345242
271	0.1090227823
272	0.1089359733
273	0.1088133007
274	0.1086900088
275	0.1085716316
276	0.1084612841
277	0.1083788822
278	0.1082900879
279	0.1081866973
280	0.1081128135
281	0.1079973434
282	0.1078939462
283	0.1077917294
284	0.1076764081
285	0.1075495532
286	0.1074399162
287	0.107377215
288	0.1073182862
289	0.107232012
290	0.1071621554
291	0.1070353807
292	0.1069436816
293	0.106834025
294	0.1067078045
295	0.1066321688
296	0.1065351068
297	0.1064691669
298	0.1063965789
299	0.1063141384
300	0.1062336146
301	0.1061295694
302	0.1060601117
303	0.1060037149
304	0.1059246179
305	0.1058755187
306	0.1058281215
307	0.1057862338
308	0.1056944381
309	0.1055938449
310	0.105498193
311	0.1054179831
312	0.1053053953
313	0.1052096255
314	0.1051655056
315	0.1051098994
316	0.1050325926
317	0.1049439098
318	0.1048543276
319	0.1047695058
320	0.1046848998
321	0.1045926729
322	0.1044937299
323	0.1044110881
324	0.1043151643
325	0.1042633461
326	0.1042133412
327	0.1041479649
328	0.1040672195
329	0.1039789815
330	0.1039061979
331	0.1038684367
332	0.1038315943
333	0.1037436489
334	0.1036522266
335	0.1035927855
336	0.1035516307
337	0.1034975915
338	0.103435308
339	0.1033441985
340	0.1032223573
341	0.1031406021
342	0.1030573718
343	0.1029733996
344	0.1028971486
345	0.1028554986
346	0.1027973123
347	0.1027252436
348	0.1026854161
349	0.1026113227
350	0.1025316198
351	0.1024616531
352	0.1023766009
353	0.1023021459
354	0.1022071327
355	0.1021238467
356	0.1020603789
357	0.102012065
358	0.101936222
359	0.1018611032
360	0.1017832834
361	0.1017156005
362	0.1016457582
363	0.1015703035
364	0.1015102254
365	0.1014621044
366	0.1013881385
367	0.1013164443
368	0.101241402
369	0.1011557217
370	0.101113202
371	0.1010932012
372	0.1010730964
373	0.1010319063
374	0.1010165179
375	0.1009456725
376	0.1008671009
377	0.1008088752
378	0.1007560045
379	0.1006762455
380	0.1006331502
381	0.1005536333
382	0.1005387366
383	0.1004934449
384	0.1003999995
385	0.1003477378
386	0.1003031558
387	0.1002308827
388	0.1001634265
389	0.1001452923
390	0.1000876202
391	0.1000188937
392	0.09997752919
393	0.09992163526
394	0.09990414841
395	0.09984987929
396	0.09978139651
397	0.09972098092
398	0.0996640946
399	0.0996079326
400	0.09954158957
401	0.09948014607
402	0.09943147667
403	0.09935986018
404	0.09927219568
405	0.09924407519
406	0.09919152108
407	0.09909032527
408	0.09907937733
409	0.09902025701
410	0.09899316704
411	0.09894266238
412	0.09887999105
413	0.09881622431
414	0.0987674131
415	0.0987060502
416	0.09865935575
417	0.09859645892
418	0.09853480625
419	0.0984702832
420	0.09841989548
421	0.09837079759
422	0.09829325372
423	0.09822104286
424	0.09818725353
425	0.0981446036
426	0.0981230906
427	0.09811256067
428	0.0980671909
429	0.09801022702
430	0.09796244762
431	0.09791926254
432	0.09785517547
433	0.0977797546
434	0.09771966473
435	0.09766052383
436	0.09765014986
437	0.09758317006
438	0.09752032812
439	0.09746036969
440	0.09742148641
441	0.09739826071
442	0.09735637395
443	0.09730284496
444	0.09728960281
445	0.09723058759
446	0.09714837609
447	0.09707891783
448	0.09703812867
449	0.09698802349
450	0.09693963631
451	0.09688467396
452	0.09682470471
453	0.0967689373
454	0.09670547139
455	0.09666254065
456	0.09659031743
457	0.09650508919
458	0.09646523746
459	0.09642228356
460	0.09637326212
461	0.09632288363
462	0.09628333171
463	0.09623408209
464	0.09614227896
465	0.09610009567
466	0.09605531187
467	0.09601707242
468	0.09599038583
469	0.09593091175
470	0.09587006799
471	0.0958158197
472	0.09576706019
473	0.09574121627
474	0.09570493171
475	0.09565551697
476	0.095645862
477	0.09560869162
478	0.0955835343
479	0.09553931885
480	0.09548190733
481	0.09544671142
482	0.09539573241
483	0.09533773181
484	0.09529062192
485	0.09523816522
486	0.09516299871
487	0.09512001523
488	0.09508386072
489	0.09506022594
490	0.09502080619
491	0.09499335542
492	0.09494369837
493	0.09492012019
494	0.09488290122
495	0.09483887631
496	0.09479121567
497	0.09476820318
498	0.09472892204
499	0.09469118003
500	0.09465929298
501	0.09460714482
502	0.09459035374
503	0.09455501635
504	0.09452111026
505	0.0944495366
506	0.09442765876
507	0.09436838194
508	0.09433407972
509	0.09428806336
510	0.09423662776
511	0.09417056044
512	0.09412056808
513	0.09407076852
514	0.0940353603
515	0.09401223171
516	0.09399306164
517	0.09393224128
518	0.09390137248
519	0.09386778175
520	0.09382155421
521	0.09376900627
522	0.09373505203
523	0.09371621688
524	0.09370049831
525	0.09368303452
526	0.09361850551
527	0.09357420349
528	0.09356302543
529	0.09353324952
530	0.0934788718
531	0.09344895145
532	0.0933993387
533	0.09331734342
534	0.09327169751
535	0.09323253806
536	0.09318754591
537	0.09314247132
538	0.09310725788
539	0.09307751154
540	0.09306679029
541	0.09305627022
542	0.09304789678
543	0.09300812707
544	0.09295909255
545	0.09289374144
546	0.09284352961
547	0.09280552636
548	0.09278941943
549	0.09276036784
550	0.09275222787
551	0.09271364111
552	0.09267198724
553	0.09261497769
554	0.09258742554
555	0.09255823919
556	0.09252522637
557	0.09250899939
558	0.09247080785
559	0.09245338429
560	0.09242221852
561	0.09240357928
562	0.09235620255
563	0.09230554597
564	0.09229278745
565	0.09224569119
566	0.09221326061
567	0.09220532027
568	0.09218820877
569	0.09215741348
570	0.09213201015
571	0.09211031932
572	0.09206680959
