iter	Passed	Remaining
0	2	2063
1	4	2052
2	5	1891
3	7	1831
4	9	1804
5	10	1748
6	12	1724
7	13	1689
8	15	1672
9	16	1664
10	18	1657
11	20	1672
12	21	1662
13	23	1648
14	24	1638
15	26	1635
16	28	1631
17	29	1625
18	31	1618
19	33	1619
20	34	1619
21	36	1617
22	38	1618
23	39	1620
24	41	1620
25	43	1614
26	44	1608
27	46	1614
28	48	1607
29	49	1602
30	51	1610
31	53	1606
32	54	1604
33	56	1604
34	58	1601
35	59	1597
36	61	1593
37	62	1588
38	64	1584
39	65	1582
40	67	1585
41	69	1582
42	71	1581
43	72	1580
44	74	1575
45	76	1581
46	77	1576
47	79	1575
48	80	1570
49	91	1730
50	92	1721
51	93	1711
52	95	1702
53	96	1693
54	98	1685
55	99	1682
56	101	1674
57	102	1669
58	104	1665
59	105	1658
60	107	1655
61	108	1647
62	110	1641
63	111	1635
64	113	1630
65	115	1629
66	116	1624
67	118	1621
68	120	1620
69	121	1620
70	123	1617
71	125	1612
72	126	1606
73	128	1602
74	129	1599
75	131	1601
76	133	1597
77	135	1597
78	136	1593
79	138	1590
80	139	1586
81	141	1583
82	143	1580
83	144	1576
84	146	1576
85	148	1574
86	149	1572
87	151	1572
88	153	1568
89	154	1566
90	156	1561
91	157	1557
92	159	1554
93	161	1552
94	163	1553
95	164	1550
96	166	1551
97	168	1548
98	169	1545
99	171	1542
100	172	1538
101	174	1534
102	175	1530
103	177	1527
104	179	1525
105	180	1522
106	182	1525
107	184	1523
108	186	1521
109	187	1517
110	189	1514
111	190	1510
112	192	1507
113	194	1508
114	195	1505
115	197	1505
116	199	1503
117	200	1501
118	202	1499
119	204	1496
120	205	1493
121	207	1490
122	208	1489
123	210	1488
124	212	1486
125	214	1485
126	215	1483
127	217	1481
128	218	1478
129	220	1476
130	222	1473
131	223	1471
132	225	1470
133	227	1468
134	228	1464
135	230	1464
136	231	1461
137	233	1457
138	234	1454
139	236	1451
140	237	1448
141	239	1445
142	240	1444
143	242	1441
144	243	1438
145	245	1438
